"mode","page","url"
"desktop","/","http://127.0.0.1:3000/"
"desktop","/capabilities","http://127.0.0.1:3000/capabilities"
"desktop","/checkout","http://127.0.0.1:3000/checkout"
"desktop","/order-confirmation","http://127.0.0.1:3000/order-confirmation"
"desktop","/shop-right-sidebar","http://127.0.0.1:3000/shop-right-sidebar"
"desktop","/sitemap","http://127.0.0.1:3000/sitemap"
"mobile","/cart","http://127.0.0.1:3000/cart"
"mobile","/category/woven-fabrics","http://127.0.0.1:3000/category/woven-fabrics"
"mobile","/fabric","http://127.0.0.1:3000/fabric"
"mobile","/fabric/cotton-fabric","http://127.0.0.1:3000/fabric/cotton-fabric"
"mobile","/search","http://127.0.0.1:3000/search"
"mobile","/wishlist","http://127.0.0.1:3000/wishlist"
